"avatar_id","avatar_name","gender","premium","preview_image_url","preview_video_url"
"Javi_Intense_Speaking_Side_3_public","Javi Intense Speaking Side 3","male","False","https://files2.heygen.ai/avatar/v3/43d573edb9ac4e018f0668e3568329d2_45420/preview_talk_1.webp","https://files2.heygen.ai/avatar/v3/43d573edb9ac4e018f0668e3568329d2_45420/preview_video_talk_1.mp4"
"Javi_Intense_Speaking_Side_public","Javi Intense Speaking Side","male","False","https://files2.heygen.ai/avatar/v3/889c74e161ad443a9ea558d9dd5664c3_45420/preview_talk_2.webp","https://files2.heygen.ai/avatar/v3/889c74e161ad443a9ea558d9dd5664c3_45420/preview_video_talk_2.mp4"
"Javi_in_Passionate_Gestures_2_public","Javi in Passionate Gestures 2","male","False","https://files2.heygen.ai/avatar/v3/f505c876f0ab4a8d98a1421438420528_46370/preview_target.webp","https://files2.heygen.ai/avatar/v3/f505c876f0ab4a8d98a1421438420528_46370/preview_video_target.mp4"
"Javi_in_Passionate_Gestures_3_public","Javi in Passionate Gestures 3","male","False","https://files2.heygen.ai/avatar/v3/b4ffc8decf2747f6a9240d6ef64d0eff_45440/preview_target.webp","https://files2.heygen.ai/avatar/v3/b4ffc8decf2747f6a9240d6ef64d0eff_45440/preview_video_target.mp4"
"Javi_in_Passionate_Gestures_public","Javi in Passionate Gestures","male","False","https://files2.heygen.ai/avatar/v3/8aa97ee9b3c1434ab405e7a05d78f91b_42910/preview_talk_5.webp","https://files2.heygen.ai/avatar/v3/8aa97ee9b3c1434ab405e7a05d78f91b_42910/preview_video_talk_5.mp4"
"Jin_expressive_2024112501","Jin (Upper Body)","female","False","https://files2.heygen.ai/avatar/v3/4f5a725c910f4545a158332bab676b35_44520/preview_target.webp","https://files2.heygen.ai/avatar/v3/4f5a725c910f4545a158332bab676b35_44520/preview_video_target.mp4"
"Jin_Blue_Casual_Front_public","Jin Blue Casual Front","female","False","https://files2.heygen.ai/avatar/v3/20c964c5869042c687c5813c8a8a8c90_43380/preview_talk_2.webp","https://files2.heygen.ai/avatar/v3/20c964c5869042c687c5813c8a8a8c90_43380/preview_video_talk_2.mp4"
"Jin_Blue_Casual_Side_public","Jin Blue Casual Side","female","False","https://files2.heygen.ai/avatar/v3/e6b6af595712410bbb77af0a4e77dbce_43390/preview_target.webp","https://files2.heygen.ai/avatar/v3/e6b6af595712410bbb77af0a4e77dbce_43390/preview_video_target.mp4"
"Jin_Business_Coffee_Mode_Front_public","Jin Business Caf̩ Mode Front","female","False","https://files2.heygen.ai/avatar/v3/21e007276a5044a3ae5ac61b300cfe42_43420/preview_target.webp","https://files2.heygen.ai/avatar/v3/21e007276a5044a3ae5ac61b300cfe42_43420/preview_video_target.mp4"
"Jin_Business_Coffee_Mode_Side_public","Jin Business Caf̩ Mode Side","female","False","https://files2.heygen.ai/avatar/v3/33322c2138e34155bbddb19239f90853_43430/preview_talk_1.webp","https://files2.heygen.ai/avatar/v3/33322c2138e34155bbddb19239f90853_43430/preview_video_talk_1.mp4"
"Jin_Business_Sitting_Front_public","Jin Business Sitting Front","female","False","https://files2.heygen.ai/avatar/v3/1b46b4b37c5d4cf492bd9e81cdc04356_43420/preview_talk_2.webp","https://files2.heygen.ai/avatar/v3/1b46b4b37c5d4cf492bd9e81cdc04356_43420/preview_video_talk_2.mp4"
"Jin_Business_Sitting_Side_public","Jin Business Sitting Side","female","False","https://files2.heygen.ai/avatar/v3/3e39d646223545509db0d44b8f546e99_43430/preview_target.webp","https://files2.heygen.ai/avatar/v3/3e39d646223545509db0d44b8f546e99_43430/preview_video_target.mp4"
"Jin_Casual_Coffee_Mode_Front_public","Jin Casual Caf̩ Mode Front","female","False","https://files2.heygen.ai/avatar/v3/d5dc4b23bcbf49b493a3379c10f48781_43380/preview_target.webp","https://files2.heygen.ai/avatar/v3/d5dc4b23bcbf49b493a3379c10f48781_43380/preview_video_target.mp4"
"Jin_Casual_Coffee_Mode_Side_public","Jin Casual Caf̩ Mode Side","female","False","https://files2.heygen.ai/avatar/v3/2ddb844f42a5455fba4de7d080b1e1e2_43390/preview_talk_1.webp","https://files2.heygen.ai/avatar/v3/2ddb844f42a5455fba4de7d080b1e1e2_43390/preview_video_talk_1.mp4"
"Jin_Casual_Sitting_Front_public","Jin Casual Sitting Front","female","False","https://files2.heygen.ai/avatar/v3/04c7ae8760d149bb8717d29fedf2b84b_43380/preview_talk_1.webp","https://files2.heygen.ai/avatar/v3/04c7ae8760d149bb8717d29fedf2b84b_43380/preview_video_talk_1.mp4"
"Jin_Casual_Sitting_Side_public","Jin Casual Sitting Side","female","False","https://files2.heygen.ai/avatar/v3/487e90522be14c76a050b213a1448e55_43390/preview_talk_2.webp","https://files2.heygen.ai/avatar/v3/487e90522be14c76a050b213a1448e55_43390/preview_video_talk_2.mp4"
"Jin_Suit_Front_public","Jin Suit Front","female","False","https://files2.heygen.ai/avatar/v3/d1911c218dec4cf388b0b0de1b588d05_43420/preview_talk_1.webp","https://files2.heygen.ai/avatar/v3/d1911c218dec4cf388b0b0de1b588d05_43420/preview_video_talk_1.mp4"
